NAME:,run_5_1.csv,,,,,,,,,,,,,,
EXPERIMENT TIME:,06/06/2023 12:13,,,,,,,,,,,,,,
ACTIVITY TYPE:,Running,,,,,,,,,,,,,,
COUNT OF ACTUAL STEPS:,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,,,,,,,,,,,,
55548,-2.471276,-2.039783,-4.589512,,,,,,,,,,,,
55629,3.334261,-6.354709,-3.92266,,,,,,,,,,,,
55710,-5.491724,-2.902768,0.156906,,,,,,,,,,,,
55791,-20.005568,15.926001,4.903325,,,,,,,,,,,,
55872,-10.983448,2.745862,5.805537,,,,,,,,,,,,
55953,3.098902,0.353039,0.549172,,,,,,,,,,,,
56034,2.706636,-3.648074,-6.158576,,,,,,,,,,,,
56115,-20.005568,-4.236473,1.451384,,,,,,,,,,,,
56196,-9.532064,18.632637,4.824872,,,,,,,,,,,,
56277,-14.827656,-1.608291,-0.353039,,,,,,,,,,,,
56358,-1.96133,-3.059675,-3.138128,,,,,,,,,,,,
56439,2.628182,-4.118793,-4.2757,,,,,,,,,,,,
56520,-10.120463,-2.471276,-7.178468,,,,,,,,,,,,
56601,-19.142582,20.005568,-5.609404,,,,,,,,,,,,
56682,-13.96467,1.216025,6.943109,,,,,,,,,,,,
56763,1.725971,2.353596,-2.039783,,,,,,,,,,,,
56844,1.569064,-5.962444,-5.138685,,,,,,,,,,,,
56925,-20.005568,-3.883434,-11.964113,,,,,,,,,,,,
57006,-12.277926,18.946449,6.982335,,,,,,,,,,,,
57087,-20.005568,-1.725971,-2.235916,,,,,,,,,,,,
57168,-3.098902,-4.589512,-2.275143,,,,,,,,,,,,
57249,0.862985,2.510503,-4.550286,,,,,,,,,,,,
57330,-7.413828,2.118237,0.745305,,,,,,,,,,,,
57411,-20.005568,1.451384,9.335931,,,,,,,,,,,,
57492,-9.061345,9.688971,3.648074,,,,,,,,,,,,
57897,-9.296705,6.864655,1.569064,,,,,,,,,,,,
57978,-9.061345,-4.667965,1.647517,,,,,,,,,,,,
58059,-6.550843,3.177355,-0.823759,,,,,,,,,,,,
