walk_2_2,NAME:,,
08/06/2023 10:46,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
85,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
-10.68,-1.74,0.58,49.82
-10.68,-1.74,0.58,49.887
-10.68,-1.74,0.58,49.982
-10.68,-1.74,0.58,50.081
-10.68,-1.74,0.58,50.153
-10.68,-1.74,0.58,50.221
-10.68,-1.74,0.58,50.288
-11.04,-2.04,0.26,50.392
-10.64,-1.63,-0.22,50.461
-10.89,-0.93,-0.46,50.564
-10.89,-0.93,-0.46,50.636
-10.89,-0.93,-0.46,50.704
-10.89,-0.93,-0.46,50.77
-10.89,-0.93,-0.46,50.867
-10.89,-0.93,-0.46,50.937
-10.89,-0.93,-0.46,51.035
-10.89,-0.93,-0.46,51.099
-10.32,-0.69,-0.2,51.198
-10.34,-0.63,0.68,51.271
-10.53,-0.44,1.31,51.341
-10.53,-0.44,1.31,51.441
-10.53,-0.44,1.31,51.515
-10.53,-0.44,1.31,51.612
-10.53,-0.44,1.31,51.686
-10.53,-0.44,1.31,51.789
-10.53,-0.44,1.31,51.859
-10.53,-0.44,1.31,51.924
-11.1,-0.47,0.61,52.032
-11.4,-0.71,-0.03,52.11
-11.9,-1.11,-0.58,52.177
-11.9,-1.11,-0.58,52.249
-11.9,-1.11,-0.58,52.318
-11.9,-1.11,-0.58,52.43
-11.9,-1.11,-0.58,52.499
-11.9,-1.11,-0.58,52.561
-11.9,-1.11,-0.58,52.657
-11.9,-1.11,-0.58,52.769
-11.64,-0.78,-0.22,52.843
-12.38,-0.16,0.01,52.911
-12.06,0.63,0.51,52.98
-12.06,0.63,0.51,53.045
-12.06,0.63,0.51,53.147
-12.06,0.63,0.51,53.215
-12.06,0.63,0.51,53.321
-12.06,0.63,0.51,53.395
-12.06,0.63,0.51,53.502
-12.06,0.63,0.51,53.574
-12.64,0.16,0.25,53.644
-12.51,0.56,-0.38,53.716
-13.22,-0.78,-0.46,53.785
-13.22,-0.78,-0.46,53.891
-13.22,-0.78,-0.46,53.963
-13.22,-0.78,-0.46,54.034
-13.22,-0.78,-0.46,54.104
-13.22,-0.78,-0.46,54.175
-13.22,-0.78,-0.46,54.28
-13.22,-0.78,-0.46,54.355
-12.96,0.03,-0.24,54.426
-13.57,-1.65,1.48,54.498
-11.73,-2.48,1.71,54.6
-11.73,-2.48,1.71,54.675
-11.73,-2.48,1.71,54.779
-11.73,-2.48,1.71,54.79
-11.73,-2.48,1.71,54.895
-11.73,-2.48,1.71,55.008
-11.73,-2.48,1.71,55.078
-11.73,-2.48,1.71,55.18
-12.72,-4.5,1.39,55.253
-10.37,-4.88,0.41,55.323
-11.75,-3.92,0.37,55.429
-11.75,-3.92,0.37,55.501
-11.75,-3.92,0.37,55.571
-11.75,-3.92,0.37,55.641
-11.75,-3.92,0.37,55.743
-11.75,-3.92,0.37,55.81
-11.75,-3.92,0.37,55.878
-11.75,-3.92,0.37,55.946
-9.14,-3.66,0.89,56.05
-10.63,-2.25,0.99,56.155
-9.17,-2.72,1.33,56.219
-9.17,-2.72,1.33,56.287
-9.17,-2.72,1.33,56.394
-9.17,-2.72,1.33,56.464
-9.17,-2.72,1.33,56.567
-9.17,-2.72,1.33,56.639
-9.17,-2.72,1.33,56.706
-9.17,-2.72,1.33,56.776
-10.45,-2.11,1.53,56.881
-10.36,-3.13,1.15,56.956
-11.11,-2.85,0.65,57.023
-11.11,-2.85,0.65,57.132
-11.11,-2.85,0.65,57.2
-11.11,-2.85,0.65,57.266
-11.11,-2.85,0.65,57.371
-11.11,-2.85,0.65,57.443
-11.11,-2.85,0.65,57.509
-11.11,-2.85,0.65,57.578
-11.38,-3.06,0.16,57.675
-10.77,-2.73,0.42,57.741
-10.85,-2.12,0.24,57.839
-10.85,-2.12,0.24,57.925
-10.85,-2.12,0.24,58.017
-10.85,-2.12,0.24,58.118
-10.85,-2.12,0.24,58.128
-10.85,-2.12,0.24,58.223
-10.85,-2.12,0.24,58.323
-10.85,-2.12,0.24,58.381
-10.07,-2.25,-0.55,58.466
-9.99,-1.79,-0.3,58.557
-9.81,-1.91,0.44,58.622
-9.81,-1.91,0.44,58.716
-9.81,-1.91,0.44,58.784
-9.81,-1.91,0.44,58.895
-9.81,-1.91,0.44,59.003
-9.81,-1.91,0.44,59.076
-9.81,-1.91,0.44,59.145
-9.81,-1.91,0.44,59.215
-9.99,-1.8,1.23,59.287
-10.46,-1.87,0.21,59.392
-11.07,-2.09,-0.44,59.467
-11.07,-2.09,-0.44,59.573
-11.07,-2.09,-0.44,59.659
-11.07,-2.09,-0.44,59.728
-11.07,-2.09,-0.44,59.798
-11.07,-2.09,-0.44,59.864
-11.07,-2.09,-0.44,59.933
-11.07,-2.09,-0.44,60.038
-11.11,-1.94,-0.16,60.109
-11.15,-2.22,0.38,60.181
-11.05,-2.82,1.14,60.284
-11.05,-2.82,1.14,60.359
-11.05,-2.82,1.14,60.437
-11.05,-2.82,1.14,60.512
-11.05,-2.82,1.14,60.621
-11.05,-2.82,1.14,60.699
-11.05,-2.82,1.14,60.77
-11.05,-2.82,1.14,60.842
-10.45,-2.69,0.9,60.953
-10.46,-2.47,1.06,60.964
