run_4_1,NAME:,,
08/06/2023 10:38,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
130,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
2.29,-7.77,3.11,28.736
2.29,-7.77,3.11,28.817
2.29,-7.77,3.11,28.904
2.29,-7.77,3.11,28.981
2.29,-7.77,3.11,29.061
2.29,-7.77,3.11,29.142
3.3,-8.7,2.48,29.221
3.37,-10.94,2.58,29.309
8.77,-13.77,0.64,29.393
8.77,-13.77,0.64,29.476
8.77,-13.77,0.64,29.559
8.77,-13.77,0.64,29.647
8.77,-13.77,0.64,29.726
8.77,-13.77,0.64,29.81
8.77,-13.77,0.64,29.891
8.77,-13.77,0.64,29.974
11.65,-15.14,0.47,30.058
11.74,-15,-3.06,30.141
8.75,-10.83,-4,30.224
8.75,-10.83,-4,30.303
8.75,-10.83,-4,30.388
8.75,-10.83,-4,30.473
8.75,-10.83,-4,30.556
8.75,-10.83,-4,30.643
8.75,-10.83,-4,30.725
8.75,-10.83,-4,30.81
8.22,-15.69,-3.78,30.819
7.36,-11.36,-3.06,30.906
5.41,-7.32,-2.03,30.99
5.41,-7.32,-2.03,31.074
5.41,-7.32,-2.03,31.158
5.41,-7.32,-2.03,31.246
5.41,-7.32,-2.03,31.327
5.41,-7.32,-2.03,31.411
5.41,-7.32,-2.03,31.494
5.41,-7.32,-2.03,31.577
5.7,-3.19,-1.54,31.663
2.42,1.01,-2.35,31.744
5.05,-1.49,-0.72,31.823
5.05,-1.49,-0.72,31.905
5.05,-1.49,-0.72,31.989
5.05,-1.49,-0.72,32.071
5.05,-1.49,-0.72,32.156
5.05,-1.49,-0.72,32.237
5.05,-1.49,-0.72,32.318
5.05,-1.49,-0.72,32.402
1.15,1.44,0.14,32.483
0.39,-0.82,1.18,32.565
2.69,-4.2,-2.08,32.648
2.69,-4.2,-2.08,32.729
2.69,-4.2,-2.08,32.809
2.69,-4.2,-2.08,32.894
2.69,-4.2,-2.08,32.976
2.69,-4.2,-2.08,33.061
2.69,-4.2,-2.08,33.143
2.69,-4.2,-2.08,33.229
2.96,-3.37,-2.29,33.313
6.83,-9.73,-4.34,33.398
4.12,-12.07,-3.41,33.484
4.12,-12.07,-3.41,33.495
4.12,-12.07,-3.41,33.583
4.12,-12.07,-3.41,33.666
4.12,-12.07,-3.41,33.747
4.12,-12.07,-3.41,33.83
4.12,-12.07,-3.41,33.914
4.12,-12.07,-3.41,34.001
9.06,-16.63,-1.46,34.083
13.06,-16.58,-0.27,34.169
12.68,-13.09,-0.33,34.248
12.68,-13.09,-0.33,34.329
12.68,-13.09,-0.33,34.414
12.68,-13.09,-0.33,34.5
12.68,-13.09,-0.33,34.583
12.68,-13.09,-0.33,34.665
12.68,-13.09,-0.33,34.744
12.68,-13.09,-0.33,34.829
14.23,-14.28,-3.28,34.913
12.17,-14.27,-4.28,34.999
10.77,-11.44,-3.5,35.087
10.77,-11.44,-3.5,35.17
10.77,-11.44,-3.5,35.255
10.77,-11.44,-3.5,35.266
10.77,-11.44,-3.5,35.347
10.77,-11.44,-3.5,35.437
10.77,-11.44,-3.5,35.571
10.77,-11.44,-3.5,35.584
9.17,-13.57,-3.05,35.718
6.26,-8.43,-2.52,35.73
5.67,-6.75,-1.99,35.859
5.67,-6.75,-1.99,35.943
5.67,-6.75,-1.99,36.031
5.67,-6.75,-1.99,36.113
5.67,-6.75,-1.99,36.201
5.67,-6.75,-1.99,36.287
5.67,-6.75,-1.99,36.373
5.67,-6.75,-1.99,36.457
3.28,-3.78,-2.62,36.543
0.63,-1.52,-0.64,36.553
1.95,-2.6,-1.62,36.686
1.95,-2.6,-1.62,36.698
1.95,-2.6,-1.62,36.836
1.95,-2.6,-1.62,36.925
1.95,-2.6,-1.62,37.012
1.95,-2.6,-1.62,37.096
1.95,-2.6,-1.62,37.178
1.95,-2.6,-1.62,37.264
1.48,-0.35,-1.36,37.349
3.22,-0.34,-1.11,37.437
3.83,-2.22,-1.82,37.522
3.83,-2.22,-1.82,37.609
3.83,-2.22,-1.82,37.696
3.83,-2.22,-1.82,37.707
3.83,-2.22,-1.82,37.793
3.83,-2.22,-1.82,37.879
3.83,-2.22,-1.82,37.964
3.83,-2.22,-1.82,38.05
0.64,-0.8,-0.31,38.137
1.23,-0.81,-2.93,38.225
3.14,-0.97,-1.69,38.314
3.14,-0.97,-1.69,38.402
3.14,-0.97,-1.69,38.487
3.14,-0.97,-1.69,38.576
3.14,-0.97,-1.69,38.668
3.14,-0.97,-1.69,38.756
3.14,-0.97,-1.69,38.763
3.14,-0.97,-1.69,38.85
4.89,-1.02,-3.28,38.933
10.47,-0.95,-3.57,39.02
11.74,-5.83,-5.53,39.107
11.74,-5.83,-5.53,39.191
11.74,-5.83,-5.53,39.281
11.74,-5.83,-5.53,39.369
11.74,-5.83,-5.53,39.457
11.74,-5.83,-5.53,39.546
11.74,-5.83,-5.53,39.634
11.74,-5.83,-5.53,39.728
12.5,-6.49,-6.62,39.817
9.98,-10.46,-7.6,39.828
6.11,-7.77,-5.62,39.916
6.11,-7.77,-5.62,40.002
6.11,-7.77,-5.62,40.089
6.11,-7.77,-5.62,40.175
6.11,-7.77,-5.62,40.259
6.11,-7.77,-5.62,40.349
6.11,-7.77,-5.62,40.433
6.11,-7.77,-5.62,40.524
4.75,-10.66,-10.06,40.531
3.45,-13.55,-11.27,40.622
3.8,-14.74,-11.31,40.711
3.8,-14.74,-11.31,40.791
3.8,-14.74,-11.31,40.881
3.8,-14.74,-11.31,40.97
3.8,-14.74,-11.31,41.058
3.8,-14.74,-11.31,41.141
3.8,-14.74,-11.31,41.226
3.8,-14.74,-11.31,41.315
6.94,-15.27,-5.64,41.409
5.45,-14.47,-2.2,41.498
5.57,-12.37,-2.11,41.589
5.57,-12.37,-2.11,41.675
5.57,-12.37,-2.11,41.687
5.57,-12.37,-2.11,41.776
5.57,-12.37,-2.11,41.866
5.57,-12.37,-2.11,41.953
5.57,-12.37,-2.11,42.042
5.57,-12.37,-2.11,42.129
4.85,-14.19,-1.92,42.217
5.77,-12.49,-0.72,42.31
3.45,-10.11,-1.9,42.397
3.45,-10.11,-1.9,42.404
3.45,-10.11,-1.9,42.491
3.45,-10.11,-1.9,42.581
3.45,-10.11,-1.9,42.673
3.45,-10.11,-1.9,42.761
3.45,-10.11,-1.9,42.849
3.45,-10.11,-1.9,42.934
2.39,-7.68,-1.33,43.028
1.05,-2.89,-3.7,43.112
3.02,-3.63,-2.22,43.207
3.02,-3.63,-2.22,43.294
3.02,-3.63,-2.22,43.305
3.02,-3.63,-2.22,43.394
3.02,-3.63,-2.22,43.48
3.02,-3.63,-2.22,43.57
3.02,-3.63,-2.22,43.661
3.02,-3.63,-2.22,43.752
2,1.33,-2.28,43.841
-1.16,-5.05,-0.93,43.929
0.73,-10.29,-2.29,44.023
0.73,-10.29,-2.29,44.108
0.73,-10.29,-2.29,44.119
0.73,-10.29,-2.29,44.213
0.73,-10.29,-2.29,44.301
0.73,-10.29,-2.29,44.39
0.73,-10.29,-2.29,44.476
0.73,-10.29,-2.29,44.571
2.43,-16.87,-3.61,44.581
6.89,-18.49,-3.65,44.674
3.96,-11.85,-2.89,44.765
3.96,-11.85,-2.89,44.854
3.96,-11.85,-2.89,44.946
3.96,-11.85,-2.89,45.035
3.96,-11.85,-2.89,45.123
3.96,-11.85,-2.89,45.218
3.96,-11.85,-2.89,45.308
3.96,-11.85,-2.89,45.403
2.76,-9.1,-2.24,45.495
1.35,-1.84,-1.7,45.506
3.39,-2.94,-2.85,45.597
3.39,-2.94,-2.85,45.687
3.39,-2.94,-2.85,45.778
3.39,-2.94,-2.85,45.866
3.39,-2.94,-2.85,45.959
3.39,-2.94,-2.85,45.969
3.39,-2.94,-2.85,46.055
3.39,-2.94,-2.85,46.151
2.65,-0.22,-2.6,46.248
2.56,-1.78,-3.16,46.341
4.65,-4.84,-2.65,46.436
4.65,-4.84,-2.65,46.524
4.65,-4.84,-2.65,46.623
4.65,-4.84,-2.65,46.714
4.65,-4.84,-2.65,46.724
4.65,-4.84,-2.65,46.811
4.65,-4.84,-2.65,46.9
4.65,-4.84,-2.65,46.992
1.8,-11.49,-7.23,47.083
4.04,-17.19,-10.29,47.172
0.73,-14.57,-9.15,47.184
0.73,-14.57,-9.15,47.266
0.73,-14.57,-9.15,47.359
0.73,-14.57,-9.15,47.45
0.73,-14.57,-9.15,47.539
0.73,-14.57,-9.15,47.631
0.73,-14.57,-9.15,47.721
0.73,-14.57,-9.15,47.815
4.54,-14.75,-3.32,47.904
2.43,-9.14,-0.03,47.997
1.78,-6.47,-0.69,48.007
1.78,-6.47,-0.69,48.099
1.78,-6.47,-0.69,48.189
1.78,-6.47,-0.69,48.279
1.78,-6.47,-0.69,48.37
1.78,-6.47,-0.69,48.464
1.78,-6.47,-0.69,48.552
1.78,-6.47,-0.69,48.563
1.61,-1.33,-2.8,48.655
-0.14,0.5,-2.84,48.749
1.03,-5.9,-3.57,48.845
1.03,-5.9,-3.57,48.939
1.03,-5.9,-3.57,49.031
1.03,-5.9,-3.57,49.045
1.03,-5.9,-3.57,49.142
1.03,-5.9,-3.57,49.235
1.03,-5.9,-3.57,49.331
1.03,-5.9,-3.57,49.433
0.76,-3.28,0.29,49.526
7.03,-10.72,2.09,49.616
