NAME:,run_3_1.csv,,
EXPERIMENT TIME:,07/06/2023 16:47,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,145,,
 ,,,
Time [sec],ACC X,ACC Y,ACC Z
19.149,-2.71,0.51,8.98
19.216,2.47,-20.01,11.18
19.246,4.79,-20.01,3.49
19.298,2.47,-16.59,-0.98
19.352,-2.86,-5.84,-4
19.402,-0.98,-9.22,-3.57
19.455,0.04,-0.12,4.55
19.52,-3.06,1.53,11.26
19.549,-5.49,-4.28,9.89
19.606,-0.27,-15.14,1.84
19.662,-0.78,-13.45,-0.51
19.735,3.3,-19.22,3.96
19.754,4.86,-15.38,4.35
19.809,3.1,-5.45,0.94
19.859,-2.12,0.31,3.57
19.92,-2.94,-2.08,0.98
19.97,-1.18,-0.43,10
20.031,-2.63,-17.26,16.08
20.08,8.32,-17.81,3.41
20.134,-1.18,-16.28,-1.77
20.158,-3.77,-7.3,-2.94
20.215,0.16,-0.55,-5.37
20.27,0.51,0.12,-0.39
20.332,-1.73,4.04,8.9
20.468,-3.69,-17.77,-0.63
20.52,4.75,-17.26,7.3
20.576,5.61,-12.24,0.59
20.634,-0.08,-4.63,-1.22
20.685,-0.78,0.12,4.04
20.739,-0.98,-0.94,-1.92
20.774,-2.2,-15.26,2.04
20.85,-4.2,-17.18,7.81
20.874,7.02,-16.32,1.8
21.005,-2,-14.4,-2
21.017,-3.37,-7.26,-2.04
21.03,0.98,-2.2,-2.59
21.087,-1.45,-0.82,-0.59
21.147,1.33,-14.36,5.81
21.203,4.67,-14.91,-5.65
21.254,3.92,-14.63,4.39
21.302,-2.39,-17.38,-0.31
21.35,2.9,-16.32,3.22
21.405,2.82,-9.18,2.86
21.437,-0.04,-4.08,1.77
21.489,-0.47,-0.63,-0.75
21.542,1.26,-1.57,1.02
21.595,0.94,-2.12,6.79
21.688,0,-20.01,9.85
21.696,4.71,-14.04,4.98
21.746,-2.75,-16.16,3.73
21.796,-2.51,-6.35,-2.86
21.85,0.12,-9.38,-2.98
21.907,4.08,0.08,-0.86
21.955,-5.81,4.82,1.33
22.01,-16.71,-8.94,9.22
22.059,4.39,-11.53,5.92
22.11,-0.08,-8.59,0.31
22.16,3.14,-17.06,-1.92
22.224,2.63,-13.49,2.47
22.5,4.94,-8.55,1.14
22.509,2.12,-4.43,0.35
22.515,-2.35,1.92,2.43
