NAME:,walk_4_1.csv,,,,,,,,,,,,,
EXPERIMENT TIME:,06/06/2023 11:54,,,,,,,,,,,,,
ACTIVITY TYPE:,Walking,,,,,,,,,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,,,,,,,,,,,
297171,-7.256921,-1.569064,-0.078453,,,,,,,,,,,
297252,-9.571291,-0.431493,-0.11768,,,,,,,,,,,
297333,-9.728197,-2.157463,0.823759,,,,,,,,,,,
297414,-13.297818,-0.078453,1.882877,,,,,,,,,,,
297495,-10.39505,-3.92266,-1.725971,,,,,,,,,,,
297576,-12.35638,-6.158576,2.667409,,,,,,,,,,,
297657,-10.238143,1.098345,-0.156906,,,,,,,,,,,
297738,-5.962444,-0.11768,0.470719,,,,,,,,,,,
297819,-6.00167,-0.902212,2.824315,,,,,,,,,,,
297900,-8.629852,0.039227,1.804424,,,,,,,,,,,
297981,-11.650301,-1.529837,4.667965,,,,,,,,,,,
298062,-10.904996,-1.216025,0.431493,,,,,,,,,,,
298143,-8.472946,-1.372931,-0.784532,,,,,,,,,,,
298224,-10.316596,-4.471833,0.823759,,,,,,,,,,,
298305,-7.609961,-1.882877,0.11768,,,,,,,,,,,
298386,-9.414385,-0.274586,-0.039227,,,,,,,,,,,
298467,-9.728197,-0.549172,0.588399,,,,,,,,,,,
298548,-11.414941,0.862985,1.176798,,,,,,,,,,,
298629,-11.767981,-3.765754,-2.31437,,,,,,,,,,,
298710,-11.611073,-6.668522,1.922104,,,,,,,,,,,
298791,-9.061345,1.372931,-0.588399,,,,,,,,,,,
298872,-6.511616,0.078453,0.509946,,,,,,,,,,,
298953,-6.864655,-1.176798,2.745862,,,,,,,,,,,
299034,-6.746975,0.431493,1.412158,,,,,,,,,,,
299115,-13.258593,-2.157463,4.942552,,,,,,,,,,,
299683,-11.140355,-1.608291,0.23536,,,,,,,,,,,
299764,-14.866882,-3.138128,1.412158,,,,,,,,,,,
299845,-10.081236,-4.785645,-1.216025,,,,,,,,,,,
299926,-11.258035,-2.31437,1.490611,,,,,,,,,,,
300007,-9.963557,-0.470719,0.11768,,,,,,,,,,,
300088,-5.530951,0.078453,1.216025,,,,,,,,,,,
300169,-6.668522,1.922104,2.549729,,,,,,,,,,,
300250,-20.005568,-6.590069,-0.431493,,,,,,,,,,,
300331,-12.670193,4.118793,2.039783,,,,,,,,,,,
300412,-11.767981,-7.374601,-0.196133,,,,,,,,,,,
300493,-6.786202,0.509946,0.23536,,,,,,,,,,,
300574,-9.335931,-1.294478,-0.627626,,,,,,,,,,,
300655,-9.218252,-1.137571,0.078453,,,,,,,,,,,
300736,-9.649744,-0.862985,-0.23536,,,,,,,,,,,
300817,-11.061902,-1.84365,1.216025,,,,,,,,,,,
300898,-13.454725,-1.059118,2.157463,,,,,,,,,,,
300979,-9.80665,-4.354153,-2.157463,,,,,,,,,,,
301060,-11.022676,-5.530951,2.039783,,,,,,,,,,,
301141,-10.120463,1.412158,-0.509946,,,,,,,,,,,
301222,-5.923217,0.470719,0.745305,,,,,,,,,,,
301303,-6.943109,1.255251,3.255808,,,,,,,,,,,
301384,-6.982335,-0.313813,-0.353039,,,,,,,,,,,
301465,-11.846434,-0.941438,4.707192,,,,,,,,,,,
301546,-9.022119,-0.862985,1.333704,,,,,,,,,,,
301627,-9.139798,-1.84365,-0.627626,,,,,,,,,,,
301708,-10.04201,-3.569621,0.706079,,,,,,,,,,,
301789,-7.374601,-2.667409,0.274586,,,,,,,,,,,
301870,-9.492838,-0.313813,-0.274586,,,,,,,,,,,
301951,-10.198917,-0.588399,1.333704,,,,,,,,,,,
302032,-11.258035,0.392266,0.431493,,,,,,,,,,,
302113,-10.04201,-3.961887,-1.569064,,,,,,,,,,,
302194,-13.101686,-6.11935,1.451384,,,,,,,,,,,
302275,-9.924331,-0.078453,-0.431493,,,,,,,,,,,
302356,-5.962444,-0.313813,0.196133,,,,,,,,,,,
302437,-6.23703,-0.627626,2.432049,,,,,,,,,,,
302518,-8.041453,0.039227,0.980665,,,,,,,,,,,
302599,-11.964113,0,4.393379,,,,,,,,,,,
302680,-10.002784,-0.941438,0.11768,,,,,,,,,,,
302761,-10.04201,-1.96133,-0.588399,,,,,,,,,,,
302842,-10.04201,-3.648074,0.823759,,,,,,,,,,,
302923,-7.492281,-2.039783,0.156906,,,,,,,,,,,
303004,-8.982892,-0.156906,0.196133,,,,,,,,,,,
303085,-10.316596,-1.098345,0.274586,,,,,,,,,,,
303166,-11.728755,1.176798,0.11768,,,,,,,,,,,
303247,-12.2387,-3.138128,-1.569064,,,,,,,,,,,
303328,-12.081794,-5.88399,1.529837,,,,,,,,,,,
303409,-8.825986,0.588399,-0.509946,,,,,,,,,,,
303490,-8.159133,0.11768,0.862985,,,,,,,,,,,
303571,-5.88399,-0.745305,2.549729,,,,,,,,,,,
303652,-6.550843,1.608291,1.372931,,,,,,,,,,,
303733,-20.005568,-5.256365,5.099459,,,,,,,,,,,
303814,-12.552513,0.156906,1.569064,,,,,,,,,,,
303895,-6.746975,-2.941995,0.784532,,,,,,,,,,,
303976,-9.885103,-1.765197,1.255251,,,,,,,,,,,
304057,-7.884547,-2.235916,-0.431493,,,,,,,,,,,
304138,-8.472946,-0.196133,0.11768,,,,,,,,,,,
304219,-10.15969,-0.23536,0.039227,,,,,,,,,,,
304300,-11.924888,-0.980665,-0.470719,,,,,,,,,,,
304381,-15.063015,-3.295035,-0.274586,,,,,,,,,,,
304462,-10.39505,-4.667965,0.706079,,,,,,,,,,,
304543,-10.51273,-1.686744,-0.23536,,,,,,,,,,,
304624,-9.414385,-0.431493,0.11768,,,,,,,,,,,
304705,-5.530951,-0.745305,2.118237,,,,,,,,,,,
304786,-6.746975,1.529837,1.647517,,,,,,,,,,,
304867,-20.005568,-5.138685,2.353596,,,,,,,,,,,
304948,-12.199473,0.23536,2.039783,,,,,,,,,,,
305515,-14.513843,-1.882877,1.059118,,,,,,,,,,,
305596,-9.375158,-5.256365,-1.294478,,,,,,,,,,,
305677,-10.473503,-4.354153,1.686744,,,,,,,,,,,
306568,-10.27737,-1.490611,1.059118,,,,,,,,,,,
307459,-11.022676,-4.001113,0.745305,,,,,,,,,,,
307540,-7.609961,-1.608291,-0.23536,,,,,,,,,,,
308026,-10.198917,-0.078453,0.039227,,,,,,,,,,,
308107,-6.315483,-0.23536,0.470719,,,,,,,,,,,
308188,-5.530951,-0.745305,2.31437,,,,,,,,,,,
308269,-7.492281,1.019892,2.353596,,,,,,,,,,,
308350,-18.436504,-3.373488,5.138685,,,,,,,,,,,
308431,-12.042567,0.23536,0.039227,,,,,,,,,,,
308512,-6.746975,-2.510503,1.255251,,,,,,,,,,,
308593,-10.238143,-3.138128,1.176798,,,,,,,,,,,
308674,-7.806094,-2.118237,-0.666852,,,,,,,,,,,
