NAME:,walk_1_2.csv,,
EXPERIMENT TIME:,07/06/2023 16:15,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,90,,
 ,,,
Time [sec],ACC X,ACC Y,ACC Z
24.516,0.71,-9.89,-4.59
24.575,1.49,-13.3,-3.3
24.74,5.22,-14.16,2.79
24.787,1.84,-6.32,-0.63
24.839,1.14,-8.47,-1.14
24.886,2,-12.12,0.75
24.942,0.12,-8.63,0.47
24.973,0.04,-8.94,-0.16
25.029,0,-9.22,0.16
25.077,-1.73,-8.12,-1.02
25.132,-0.2,-9.53,-0.67
25.188,-1.1,-10.43,-0.47
25.24,-2.16,-9.92,-2.16
25.384,6,-16.75,2.51
25.443,4.04,-12.79,0.24
25.493,0.04,-9.89,-3.77
25.546,1.18,-8.98,-2
25.597,-0.9,-5.57,-3.14
25.651,0.59,-4.12,-2.16
25.701,0.75,-5.18,-4.79
25.756,0.27,-10.51,-4.24
25.808,1.84,-11.92,-4.12
25.858,0.35,-10.08,-7.45
25.89,4.24,-14.28,-5.49
25.972,5.92,-10.4,2.67
26.002,1.84,-4.71,-1.22
26.051,-0.82,-12.2,-0.51
26.113,2.24,-10.59,-0.55
26.16,0.35,-7.73,-0.9
26.21,0.16,-9.38,-0.2
26.273,0.9,-8.79,-0.24
26.301,-1.41,-9.22,0.04
26.347,-0.63,-10.08,-0.9
26.402,-1.1,-10.43,-0.9
26.454,-2.47,-10.28,-0.47
26.517,2.82,-13.93,0.39
26.654,5.57,-12.55,-0.24
26.712,-0.31,-10.28,-1.96
26.766,1.29,-6.47,-1.49
26.815,1.8,-6.83,-2.79
26.872,0.63,-4.24,-3.69
26.922,0.55,-5.22,-3.65
26.979,1.14,-11.22,-4.24
27.036,2,-12.04,-4.24
27.084,0.78,-10.28,-9.1
27.117,4.28,-18.59,-3.02
27.172,4.39,-8.43,0.78
27.297,1.14,-7.81,-0.51
27.308,1.73,-11.1,-0.51
27.329,2,-10,0.82
27.377,-0.12,-8.08,0.24
27.433,0.86,-9.38,0.08
27.488,-0.9,-9.02,-0.39
27.771,-1.73,-9.69,-0.67
27.782,-0.55,-9.61,-1.22
27.798,-2.67,-10.32,-0.39
27.805,-0.55,-11.73,0.51
27.841,5.96,-13.45,0.55
27.907,2.08,-11.69,-2.86
27.929,0.9,-8.36,-0.67
27.984,1.92,-6.28,-3.02
28.036,0.47,-5.3,-2.31
28.09,0.24,-4.47,-3.06
28.15,1.33,-7.53,-4
28.188,2,-11.14,-4.59
28.24,0.94,-11.34,-6.43
28.296,0.35,-7.49,-6.55
28.349,6.94,-20.01,-4
28.399,3.45,-9.57,2.86
28.554,2.59,-10.51,1.8
28.606,-1.06,-8.98,0.04
28.656,0.47,-8.9,-0.51
28.71,-1.18,-8.94,-0.59
28.771,-0.9,-9.96,0.04
28.802,-0.2,-9.26,-1.02
28.851,-1.57,-9.53,-0.47
28.908,-1.65,-9.57,-0.08
28.962,2.94,-14.32,1.73
29.016,3.41,-14.55,4.43
29.069,5.88,-13.65,0.43
29.107,4.79,-11.53,-0.63
29.202,0.16,-9.34,-1.77
29.212,0.78,-7.34,-2.28
29.277,1.41,-6.24,-2.67
29.327,1.06,-5.22,-3.77
29.356,0.24,-5.88,-4.35
29.41,0.55,-8.67,-4.04
29.464,2.43,-10.43,-3.77
29.518,1.26,-10.12,-7.14
29.574,4.9,-11.81,-5.14
29.621,6,-10.04,1.57
29.676,0.63,-9.1,-0.78
29.728,0.82,-10.12,-0.51
29.783,2.31,-10.28,0.08
29.854,-0.71,-8.9,0.08
29.879,-0.2,-9.14,-0.47
29.934,-0.35,-8.36,-0.78
29.991,-0.9,-9.45,-0.51
30.05,0.31,-10.08,-0.04
30.08,-2.31,-9.57,-0.12
30.123,4.2,-14.16,-0.12
30.173,3.77,-14.08,1.33
30.237,5.02,-13.06,-1.1
30.29,2.43,-10.67,-2.35
30.344,0.82,-8.08,-1.49
30.395,0.86,-6.28,-2.67
30.536,0.35,-7.88,-4.55
30.59,0.78,-8.75,-4.59
30.636,1.65,-10.32,-4.43
30.688,0.35,-10.2,-7.02
30.744,4.16,-13.1,-6.12
30.799,3.57,-10.16,1.73
30.852,1.96,-6.83,-0.16
30.909,0.27,-11.3,-0.35
30.936,2.04,-9.81,-0.04
31.014,-0.12,-8.16,-0.35
31.049,-0.04,-9.34,-0.39
31.155,0.67,-8.9,-0.35
31.169,-1.49,-9.81,-0.59
31.209,-1.29,-9.53,-1.26
31.26,-1.14,-10.67,-0.71
31.338,-1.33,-10.4,-0.31
31.349,3.49,-14.79,2.16
31.414,3.3,-13.22,1.84
31.456,5.33,-13.02,-0.55
31.512,2.2,-10.08,-2.71
31.563,0.67,-7.81,-0.55
31.614,1.26,-5.65,-3.18
31.667,0.51,-5.37,-2.94
31.72,-0.43,-4.94,-3.3
31.783,0.78,-9.49,-4.86
31.813,2.47,-11.89,-4.12
31.859,1.84,-9.73,-6.86
31.915,5.06,-10.87,-6.43
31.971,4.94,-13.14,3.8
32.021,1.02,-7.65,-1.49
32.07,0.94,-10.55,-1.26
32.131,1.73,-11.53,0.98
32.183,-0.86,-8.2,-0.51
32.234,-0.04,-8.47,-0.31
32.264,0.43,-8.98,-0.04
32.362,-0.94,-9.65,-0.75
32.375,-0.67,-9.69,-1.14
32.423,-1.33,-10.28,-1.29
32.468,-2.82,-10.12,-0.51
32.526,2,-13.53,0.75
32.586,2.55,-15.26,4.31
32.623,5.69,-11.41,0.08
32.68,4.31,-11.26,-0.31
32.742,-0.24,-10.04,-1.22
32.788,1.96,-6.75,-1.84
33.047,2.2,-6.83,-2.59
33.056,0.31,-4.9,-2.98
33.084,0.08,-4.79,-3.92
33.144,2.82,-8.04,-5.69
33.195,3.49,-15.46,5.77
33.245,1.33,-6.35,-0.43
33.304,1.73,-7.85,-1.92
33.359,2.31,-12.71,1.88
33.388,-0.35,-8.67,0.04
33.454,0.71,-8.43,-0.47
33.508,0.75,-8.87,-0.16
33.558,-1.8,-8.9,-1.06
33.615,-0.78,-9.65,-0.82
33.663,-2.59,-10.16,-0.63
33.729,-1.02,-11.77,-1.22
33.754,3.61,-14.95,0.98
33.798,2.79,-11.77,3.33
33.856,4.86,-15.06,-0.12
33.913,2.9,-11.73,-1.1
33.961,0.39,-8.83,-2.16
34.011,0,-10.9,-1.33
34.064,1.88,-5.73,-2.71
34.118,0.71,-3.49,-3.02
34.172,0.71,-6.12,-4.16
34.208,-0.08,-14.32,-4.16
34.272,1.18,-10.98,-5.73
34.383,2.59,-8.08,-6.9
34.393,4.55,-20.01,2.12
34.414,2.39,-5.69,0.63
34.472,0.16,-9.14,-0.47
34.522,1.8,-12.2,0.43
34.568,1.45,-9.3,0.47
34.625,-0.12,-8.59,0
34.676,0.43,-9.3,-0.12
34.73,-0.71,-8.67,-0.2
34.778,-1.37,-9.22,-0.55
34.839,-0.43,-9.96,-0.55
34.887,-1.41,-10.47,0.24
34.917,-1.06,-11.96,-0.16
35.002,3.41,-14.24,0.31
35.034,3.33,-11.14,2.98
35.076,5.1,-14.44,0.43
35.131,3.37,-12.4,-1.26
35.196,-0.63,-8.98,-1.69
35.221,0.71,-5.92,-2.12
35.279,1.06,-6.24,-3.1
35.327,0.35,-4.86,-3.1
35.39,1.06,-6.47,-4
35.43,1.26,-10.87,-4.16
35.584,5.02,-14.87,-3.06
35.643,5.84,-14.2,4.08
35.693,-0.04,-7.73,-1.49
35.731,0.47,-8.79,-1.37
35.806,2.24,-12.4,2.24
35.859,0.86,-7.49,-0.31
35.888,1.26,-8.98,0.2
35.943,-0.59,-9.45,0
35.996,-2.16,-9.1,-0.2
36.052,-0.78,-10.2,-0.75
36.107,-2.55,-9.49,-0.31
36.156,0.12,-10.71,-0.12
36.266,2.59,-13.42,2.12
36.279,4.16,-11.3,0.39
36.308,4.98,-17.5,0.16
36.363,2.2,-10.08,-2.75
36.414,2.04,-9.77,-1.53
36.448,2.31,-7.26,-2.43
36.511,0.78,-5.02,-1.92
36.562,-0.27,-3.73,-3.02
36.616,0.31,-7.92,-4.47
36.671,0.78,-12.12,-3.22
36.704,1.8,-12.24,-6.2
36.757,3.3,-9.69,-6.04
36.811,3.57,-15.34,2.71
36.891,2.94,-5.26,-0.98
36.914,-2.12,-12.59,-0.9
36.966,2,-10.67,-0.24
37.019,1.73,-7.53,-0.2
37.075,-0.08,-9.96,-0.16
37.111,0.59,-9.69,-0.16
37.161,-1.02,-8.32,-0.47
37.218,-0.55,-8.2,0.04
37.275,-0.08,-11.41,-0.27
37.33,-1.65,-10.67,-0.59
37.382,-2.04,-11.06,-1.45
37.435,-1.57,-11.77,-0.27
37.484,3.22,-13.81,1.96
37.572,2.82,-11.77,2.35
37.585,6.63,-12.47,-0.27
37.627,1.61,-11.26,-2.71
37.68,0.47,-8.04,-0.27
37.729,1.88,-6.9,-2.67
37.782,0.94,-6.75,-2.2
37.838,0.43,-5.02,-3.65
37.888,1.02,-8.63,-4.43
37.935,1.06,-10.94,-5.26
37.987,0.71,-9.14,-4.51
38.029,0.55,-10.83,-6
38.811,2.55,-3.61,0.39
39.341,0.67,-9.96,-3.18
39.367,0.16,-8.32,-7.49
39.417,6.75,-14.47,-4.2
39.48,5.65,-10.79,3.02
39.509,0.47,-8.16,-0.04
39.561,0.16,-10.63,0.04
39.61,2.59,-9.26,1.8
39.672,0.27,-8.47,0.2
39.73,1.29,-7.85,0.12
39.782,0.2,-8.32,0.51
39.837,-1.22,-9.22,-0.08
39.871,0.51,-10.94,-0.59
39.919,-1.92,-10.2,-0.12
39.978,-1.77,-11.85,-1.26
40.07,-2.08,-13.96,0.9
40.08,6.32,-11.61,-0.27
40.128,3.18,-10.2,1.22
40.18,4.08,-14,-1.29
40.232,1.02,-10.67,-1.14
40.291,1.69,-7.14,-1.33
40.342,1.18,-5.88,-2.35
40.396,1.06,-5.3,-2.55
40.426,0.47,-5.65,-3.84
40.478,0.47,-9.06,-3.92
40.529,0.86,-10.04,-4.39
40.589,1.65,-11.61,-5.61
40.673,-0.55,-9.3,-7.85
40.696,4.16,-11.45,-7.18
40.743,3.69,-9.22,2.16
40.797,0.9,-6.79,-2.24
40.852,-0.2,-12.59,0.47
40.903,3.73,-10.67,0.55
40.955,-0.08,-7.1,-1.1
40.984,0,-9.81,0.27
41.046,1.18,-9.06,0.47
41.101,-0.35,-8.87,-0.39
41.149,0.08,-10,-0.24
41.202,-0.51,-9.41,-1.41
41.254,-3.33,-10.51,-0.31
41.32,-2.63,-12.79,1.1
41.344,4.94,-14.16,-0.12
41.415,2.35,-10.83,2.63
41.464,7.3,-14.47,0.59
41.517,4.28,-11.14,1.26
41.578,0.16,-9.02,-1.61
41.605,1.02,-7.49,-1.33
41.66,1.37,-6,-2.47
41.711,0.35,-4.75,-3.37
41.765,0,-6.28,-3.41
