Time [sec],ACC X,ACC Y,ACC Z
19.406,3.33,-10.87,-4.79
19.455,6.24,-9.57,2
19.509,0.78,-8.98,2.35
19.556,1.14,-5.96,-0.43
19.609,3.77,-10.9,0.86
19.661,1.65,-9.45,1.57
19.717,1.53,-8.9,1.1
19.767,0.31,-9.49,0
19.802,-1.26,-9.1,-0.12
19.869,-0.47,-9.89,-0.35
19.898,-0.47,-10.12,-1.02
19.964,-2.35,-9.85,-0.27
20.044,0.27,-11.3,-0.47
20.054,3.88,-13.57,0.9
20.107,3.65,-10.67,2.51
20.156,5.57,-12.67,0.2
20.208,3.69,-11.02,-0.98
20.269,0.71,-9.92,-1.92
20.321,1.02,-6.75,-1.69
20.372,1.88,-7.77,-2.47
20.513,1.88,-9.77,-3.49
20.567,2,-9.49,-4.08
20.617,1.14,-11.45,-7.22
20.667,3.84,-14.91,-6.98
20.721,5.65,-14.28,1.96
20.781,2.31,-3.3,0.27
20.831,1.14,-6.79,0.35
20.884,3.84,-13.18,1.29
20.928,0.86,-8.71,0
20.975,0.78,-9.41,-0.12
21.131,-0.71,-9.53,-0.24
21.201,0.2,-10.4,-0.98
21.24,-2.51,-9.92,-0.67
21.293,-0.27,-11.85,-0.16
21.324,3.73,-13.53,0.24
21.392,2.9,-12.04,4.51
21.446,5.14,-11.26,-0.16
21.501,5.14,-11.77,0.35
21.552,-0.78,-9.34,-3.22
21.602,1.61,-7.41,-1.69
21.635,1.49,-7.41,-3.18
21.699,1.77,-4.82,-3.73
21.755,0.9,-5.1,-3.53
21.786,1.69,-10.24,-3.88
21.843,3.22,-11.3,-2.82
21.897,0.71,-10.24,-8.67
21.956,1.84,-7.18,-6.16
22.003,6.04,-16.28,4.24
22.058,2.24,-5.53,2.71
22.116,1.41,-3.8,-0.39
22.17,2.67,-13.73,0.63
22.193,-0.35,-9.65,0.16
22.27,0.86,-8.28,-0.04
22.297,0.2,-8.87,-0.51
22.459,0.27,-9.89,-0.55
22.513,-2.43,-10.4,-1.29
22.568,-0.35,-11.34,0.43
22.6,4.59,-12.2,0.39
22.677,6.04,-10.4,2.08
22.704,5.92,-15.73,-0.59
22.755,0.35,-9.14,-3.88
22.829,2,-8.63,-2.39
22.862,-0.04,-7.3,-3.45
22.916,1.18,-5.53,-2.31
22.967,1.26,-3.69,-3.53
23.035,1.84,-6.28,-3.49
23.063,2.08,-13.85,-3.69
23.123,1.18,-11.02,-7.69
23.172,1.29,-7.37,-6.71
23.221,4.79,-20.01,4
23.273,2.47,-6.39,1.18
23.326,0.9,-6.67,-0.12
23.377,2.63,-10.79,0.39
23.418,1.8,-8.12,0.86
23.678,-0.04,-9.06,-0.12
23.686,1.06,-9.77,-0.27
23.72,-2.43,-10.4,-0.9
23.784,-1.41,-11.22,0.08
23.839,2.55,-12.63,0.16
23.883,4.79,-13.26,4.55
23.932,6.35,-13.65,0.71
23.983,1.92,-12.59,-1.96
24.038,-0.47,-8.43,-2.08
24.088,1.84,-6.24,-2.71
24.135,1.26,-5.92,-2.63
24.191,1.57,-3.88,-3.37
24.303,2.16,-5.69,-4.08
24.313,1.88,-12.83,-3.53
24.336,1.45,-11.22,-5.22
24.391,-0.16,-6.28,-7.41
24.448,3.45,-9.1,-6.94
24.5,5.41,-14.67,6.55
24.551,0.71,-5.92,-1.69
24.604,1.37,-8.39,-1.77
24.66,4.2,-12.67,0.94
24.71,-0.12,-8.59,-1.1
24.76,-0.08,-8.98,-0.27
24.812,0.86,-9.34,-0.31
24.864,-1.41,-8.71,-0.75
25.021,-3.65,-9.3,-1.26
25.055,-0.51,-12.04,0.78
25.116,4.55,-15.3,2.75
25.162,4.08,-9.18,1.18
25.214,6.9,-14.04,0.39
25.267,0.31,-11.61,-1.96
25.323,0.63,-7.53,-0.86
25.374,1.92,-6.94,-3.3
25.424,0.47,-6.04,-3.06
25.475,0.31,-3.69,-3.61
25.527,0.98,-6.28,-3.22
25.605,3.18,-12.43,-3.14
25.615,1.92,-12.04,-6.86
25.664,0.08,-4.31,-6
25.724,5.69,-20.01,6.9
25.774,3.41,-9.18,1.57
25.825,1.29,-6.16,-2.43
25.877,1.45,-8.98,-1.18
25.932,1.41,-10.28,2.55
25.99,-0.75,-8.9,-0.27
26.015,1.49,-9.49,0.2
26.092,-0.71,-8.63,-0.86
26.12,-1.06,-9.81,-0.94
26.174,-0.82,-10,-0.27
26.281,-1.96,-9.26,-0.55
26.29,-0.59,-10.98,0
26.33,3.88,-13.38,1.69
26.382,3.02,-11.65,1.06
26.444,7.02,-15.81,0.55
26.476,2.71,-10.9,-2.28
26.532,-0.51,-8.36,-1.65
26.578,1.33,-5.49,-1.84
26.635,0.94,-6.16,-2.31
26.695,1.41,-4.82,-2.86
26.762,1.26,-6.2,-4.63
26.822,1.1,-11.53,-3.96
26.851,1.8,-11.92,-6.75
26.901,1.77,-7.96,-8.39
26.932,4.82,-20.01,-0.86
26.988,2.75,-5.26,-0.16
27.041,0.86,-6.28,-1.26
27.087,0.94,-12.91,0.59
27.139,3.65,-9.3,0.08
27.197,1.92,-8.98,-0.27
27.25,1.22,-9.38,0.71
27.303,0.63,-8.79,0.12
27.353,-1.57,-8.32,-0.43
27.401,-1.37,-9.26,-0.51
27.457,0.16,-10.4,-1.26
27.55,-2.31,-10.79,-2.39
27.561,-1.49,-10.59,0.94
27.607,4.35,-13.96,1.92
27.649,5.53,-11.69,1.37
27.725,5.41,-15.46,0.86
27.755,1.37,-9.85,-1.61
27.806,1.69,-8.39,-1.84
27.866,2,-6.43,-2.39
27.916,1.18,-5.96,-1.49
27.965,0.98,-5.73,-2.98
28.016,1.06,-8.67,-3.88
28.101,0.98,-9.22,-4
28.112,2,-8.32,-4.31
28.165,2.51,-11.41,-5.61
28.217,2.75,-9.38,-5.81
28.264,6,-16.71,4.67
28.321,2.55,-3.18,-0.94
28.377,0.47,-9.85,-1.06
28.426,2.39,-12.04,-0.12
28.481,1.77,-8,0.51
28.533,0.24,-9.02,0.16
28.582,1.06,-9.26,-0.39
28.643,-1.37,-9.18,-0.43
28.692,-0.94,-9.69,-0.35
28.96,0.08,-10,-0.55
28.967,-1.06,-10.12,0.35
28.98,2.2,-14.2,4.51
28.986,4.31,-9.57,0.51
29.028,6.32,-11.77,-0.12
29.089,-0.39,-10.04,-2.82
29.132,0.9,-7.49,-1.06
29.183,1.65,-8.12,-3.61
29.234,1.41,-5.65,-3.65
29.287,0.35,-4.16,-4.08
29.337,0.75,-8.32,-4.04
29.44,3.41,-15.22,-2.75
29.447,1.73,-9.06,-9.45
29.49,2.79,-10.43,-4.47
29.545,5.45,-13.96,1.33
29.599,2.24,-6.86,0.35
29.649,1.61,-7.85,0.24
29.7,2.94,-11.41,0.59
29.758,-0.04,-8.55,-0.12
29.794,0,-8.59,0
29.864,0.04,-9.49,-0.43
29.919,-1.77,-8.87,-0.82
30.024,0.04,-10,-1.06
30.032,-2.04,-9.96,0.12
30.045,-1.45,-10.87,-0.43
30.107,3.49,-14.08,0.67
30.159,4.94,-11.61,3.49
30.204,6.32,-12.83,-1.26
30.252,0.55,-13.18,-2
30.305,-0.55,-7.53,-2.43
30.359,0.94,-6.98,-3.37
30.416,1.73,-5.65,-2.35
30.467,1.96,-3.26,-4.16
30.516,1.8,-6.83,-4.98
30.571,-0.08,-13.38,-3.37
30.625,0.55,-10.75,-7.1
30.697,1.37,-5.73,-8.94
30.725,7.57,-20.01,0.78
30.776,3.37,-7.92,1.92
30.809,0.39,-6.24,-1.18
30.867,2.31,-10.71,0.31
30.919,1.77,-8.67,1.22
30.981,0.51,-8.55,-0.04
31.04,0.47,-8.67,-0.59
31.085,-1.69,-9.57,-0.59
31.14,-1.29,-10.4,-0.55
31.194,1.69,-9.41,-1.61
31.216,-3.33,-9.96,-1.29
31.399,4.08,-9.3,2.04
31.43,6.08,-14.51,-0.43
31.481,2.28,-12.32,-2.16
31.565,0.63,-7.73,-1.29
31.6,1.06,-6.63,-2.9
31.653,1.18,-5.53,-2.86
31.709,1.02,-3.1,-3.61
31.744,1.22,-6.12,-4.12
31.801,1.61,-15.46,-3.57
31.831,2.28,-9.41,-6.67
