Time [sec],ACC X,ACC Y,ACC Z
18.241,4.24,-13.45,4.51
18.311,2.47,-7.88,1.69
18.351,-1.57,-3.06,2.9
18.621,1.45,2.35,2.16
18.663,-3.14,-10.87,-5.33
18.701,-0.67,-0.08,-0.47
18.754,0.31,-2.39,2.59
18.809,-4.47,1.49,1.49
18.861,3.49,-6.59,6
18.921,1.65,-12.55,0.27
18.95,2.71,-18.63,0.08
19.025,4.71,-12.24,3.77
19.071,2.59,-10.24,0.51
19.145,-0.86,-2,4.2
19.177,1.06,1.1,0.08
19.217,-3.49,0.71,3.06
19.272,1.06,-20.01,7.49
19.308,4.43,-18.55,-2.2
19.369,-1.57,-13.53,-3.18
19.422,-3.8,-8.28,-1.37
19.472,-2.39,-5.41,-3.92
19.525,-0.63,-2.08,-0.08
19.58,-9.38,-1.96,10.24
19.633,1.88,-9.73,3.84
19.679,-2.51,-14.51,3.3
19.825,4.55,-9.65,1.33
19.878,1.1,-0.75,2.28
19.944,-2.2,0,0.98
19.988,3.92,2.39,4.16
20.036,-2.24,-19.53,2.2
20.088,2.24,-19.14,2.82
20.136,-0.35,-14.98,-1.37
20.188,-3.41,-9.53,-2.24
20.247,-3.14,-4,-4.47
20.302,-1.41,-1.02,1.69
20.391,-11.02,-3.41,8.55
20.402,2.16,-8.47,11.34
20.441,-0.67,-15.97,4.47
20.494,-1.73,-13.77,-4.35
20.538,8.2,-15.61,6.63
20.602,5.65,-8.51,-2.47
20.655,0.24,-0.47,3.18
20.685,-1.37,1.1,1.26
20.764,1.1,3.1,9.38
20.792,4.75,-20.01,6.71
20.848,4.55,-18.01,-0.51
20.902,0.47,-13.81,0.27
21.015,-3.14,-8.36,-1.73
21.027,-0.9,-4.16,-4.82
21.051,-2,-0.86,-0.12
21.103,0.31,-1.26,1.8
21.159,1.88,-20.01,-1.61
21.215,2.04,-19.57,-1.18
21.258,2.16,-19.97,1.37
21.304,4.12,-12.2,3.06
21.35,4.12,-10.12,1.41
21.407,1.88,-2.39,0.82
21.456,-0.75,-0.98,2.51
21.512,-4.08,-0.27,10.79
21.568,2.47,-19.22,6.75
21.625,3.49,-20.01,2.47
21.704,0.98,-17.65,-2.67
21.719,-3.18,-9.38,-1.8
21.782,-3.69,-9.14,-4.39
21.807,-2.79,1.26,-0.16
21.877,-3.02,-2.39,8.9
21.931,4.51,-5.61,12.55
21.981,-0.63,-15.97,0.04
22.038,-1.92,-16.99,-2.86
22.063,2.2,-20.01,14.24
22.117,5.73,-11.18,4.51
22.17,0.9,-5.22,0.47
22.218,-1.22,-0.35,2.98
22.274,0.24,1.57,1.8
22.326,-5.02,-7.92,2.04
22.371,0.47,-20.01,11.92
22.444,4.82,-17.1,-3.37
22.477,-4.2,-11.49,-2.12
22.535,-0.08,-9.81,-8.9
22.587,-2.04,1.49,-2.39
22.63,-1.8,-1.02,0.2
22.68,-8.16,-1.57,6.55
22.734,3.37,-8.16,4.67
22.789,2.04,-13.38,0.59
22.831,2.82,-14.4,-1.14
22.949,5.57,-16.2,6.86
22.961,5.53,-7.53,-0.08
22.984,0,-2.47,2.16
23.039,0.2,0.75,2.2
23.093,-5.14,-2.67,0.47
23.135,3.57,-18.99,8.9
23.191,6.75,-19.61,2.2
23.252,-2,-13.45,-0.39
23.304,-3.45,-9.41,-3.84
23.351,-0.63,-0.39,-1.53
23.414,-1.92,-0.78,-1.53
23.466,0.94,5.96,9.73
23.492,12.59,-16.08,-6.86
23.551,2.43,-15.49,6.12
23.637,-0.39,-20.08,3.3
23.903,5.1,-15.53,5.33
23.965,4.71,-16.91,3.61
24.023,2.94,-19.14,-1.53
24.073,-3.3,-10.4,-1.33
24.104,-0.98,-8.67,-5.41
24.155,-2.63,-0.47,-1.41
24.224,-1.65,0,1.49
24.278,18.75,-20.01,-14.51
24.309,-2.55,-12.32,-2.39
24.36,2.28,-17.5,3.65
24.42,3.06,-13.42,1.65
24.468,3.61,-13.65,5.22
24.521,6.28,-7.96,-1.33
24.577,0.16,-2.47,5.53
24.629,1.14,2.39,-1.53
24.681,-7.61,-0.24,1.88
24.738,4.82,-20.01,8.59
24.788,1.57,-17.65,-2.28
24.841,-1.96,-11.26,-2.04
24.911,-0.12,-13.26,-3.57
24.937,-1.49,0.51,-3.18
24.99,-1.06,-1.37,1.49
25.023,0.35,-0.75,3.41
25.078,3.73,-12.32,-11.14
25.135,4.04,-15.53,1.1
25.181,1.26,-17.38,0.24
25.242,4.43,-14.98,2.86
25.292,3.61,-12.51,2.08
25.351,2.24,-4.35,0.43
25.404,0.04,-2.51,7.49
25.434,4.24,3.26,2.82
25.513,2.16,-17.14,4.16
25.543,2.04,-20.01,4.55
25.589,2.82,-16.91,-1.69
25.643,-3.88,-11.69,-2.75
25.7,-0.71,-8.04,-6.16
25.747,-0.51,0.2,-0.67
25.8,-1.49,-1.22,1.96
25.848,-6.75,-1.45,5.06
25.911,5.26,-11.34,1.65
25.941,-0.71,-9.57,0.94
26,3.65,-19.18,2.35
26.051,3.45,-13.18,4.63
26.155,4.28,-10.08,0.55
26.164,0.51,-2.55,4.31
26.201,0.31,-0.78,1.02
26.258,-4.08,-2.75,5.77
26.307,-0.67,-18.63,7.49
26.36,4.9,-17.65,1.45
26.412,3.18,-12.36,-0.86
26.45,-3.06,-9.1,-2.98
26.501,-1.69,-5.18,-4.86
26.558,-0.08,-3.73,-0.71
26.627,-5.26,-4.47,5.02
26.654,4,-12,-8.59
26.715,2.63,-12.47,2.35
26.785,-0.16,-15.97,0.78
26.808,0.9,-14.44,1.06
26.863,3.77,-9.34,2.2
26.919,2.47,-8.32,2.04
27.048,-0.39,-6.71,3.02
27.062,2.31,-0.78,-2.63
27.084,4.86,-3.65,4
27.135,-0.51,-17.46,6.08
27.165,4.35,-16.32,2
27.223,0.39,-14.71,-4.2
27.267,-1.45,-9.34,0.24
27.319,-2.71,-6.79,-6.51
27.375,-2.08,-3.02,-2.86
27.428,-3.22,-1.06,1.69
27.489,0.59,-14.2,-10.67
27.543,-0.67,-11.41,4.51
27.571,-0.67,-16.83,1.45
27.69,3.37,-20.01,3.77
27.701,3.92,-10.87,5.06
27.739,3.88,-8.08,-0.16
27.777,-2.35,-1.1,3.61
27.849,0.9,2.51,-0.78
27.9,-3.57,-2.79,3.73
27.934,0,-20.01,8.2
27.984,2.31,-19.22,-0.16
28.031,-0.12,-16.08,-3.37
28.091,-3.88,-8.67,-2.79
28.142,-3.61,-2.71,-5.3
28.202,-1.69,-2.43,-0.31
28.258,-3.22,0.27,2.2
28.322,2.59,-11.18,5.77
28.342,-0.94,-14.2,2.16
28.398,3.14,-19.81,2.2
28.453,3.84,-12.94,5.37
28.504,3.69,-9.77,1.26
28.557,-0.47,-1.92,2.28
28.606,0.43,-0.51,3.92
28.657,3.3,2.59,7.45
28.708,1.65,-19.53,1.53
28.757,1.96,-20.01,1.92
28.812,2.82,-12.91,-1.37
28.847,-4.16,-10.55,-2
28.904,0.31,0,-4.24
29.183,-3.22,-1.14,-1.8
29.195,-0.75,-16.55,-0.08
29.217,1.29,-15.46,3.88
29.225,4.28,-14.36,8.9
29.276,4.98,-9.02,0.24
29.324,0.9,-2.2,3.49
29.355,1.22,0.12,3.61
29.411,-6.12,-0.63,3.73
29.463,-0.12,-20.01,7.53
29.538,6.24,-18.99,-2.75
29.564,-1.37,-11.61,-1.65
29.67,-4.59,-10.51,-2
29.682,-1.73,-1.77,-4.16
29.723,0.08,-0.16,0.16
29.779,-3.65,-0.75,3.73
29.825,2.24,-15.81,-2.71
29.879,4.39,-15.89,2.04
29.926,1.65,-14.91,0.43
29.986,4.79,-15.85,2.98
30.035,5.02,-8.47,-0.24
30.085,-0.16,-2.28,1.22
30.14,-0.98,-1.1,5.37
30.26,-6.2,1.02,4.04
30.268,2.63,-13.34,9.14
30.282,6.16,-20.01,7.41
30.339,1.73,-14.24,-4.47
30.378,-2.28,-9.41,0.08
30.438,-4.39,-6.08,-6.55
30.484,-1.73,1.02,-0.98
30.538,-1.41,0.2,-1.06
30.591,4.24,-19.06,-7.96
30.639,2.2,-15.81,2.47
30.686,0.63,-12.16,-6.43
30.745,3.37,-16.71,5.1
30.82,6.9,-8.32,0.08
30.892,0.24,-4.71,-1.33
30.901,-0.12,-2.35,5.69
30.944,-2.16,2.39,7.37
30.996,-0.31,-12.4,5.92
31.047,3.61,-20.01,7.18
31.096,5.49,-15.06,-3.49
31.147,-1.57,-11.96,-2.28
31.199,-4.86,-7.81,-5.96
31.247,-2.35,0.47,0.12
31.301,-2,0.59,3.33
31.358,2.24,-12.08,-2.43
31.411,-1.57,-15.22,-2.39
31.555,9.53,-12.36,3.3
31.611,2.94,-7.34,-1.37
31.664,-1.73,-1.65,5.22
31.707,0.04,-1.33,1.92
31.774,-3.61,-2.98,0.9
31.829,0.59,-19.02,7.73
31.856,4.9,-17.3,-2.59
31.912,0.75,-14.79,-4.24
31.969,-3.53,-8.28,-2.82
32.02,-0.78,-2.67,-2.94
32.061,-0.2,-2.51,0.27
32.161,-8.63,-2.98,13.61
32.173,-0.39,-9.1,4.39
32.213,1.69,-15.22,4.08
32.286,1.69,-16.83,-0.67
32.338,4.35,-12.63,5.57
32.389,3.26,-9.41,-1.02
32.423,0.67,-1.33,3.37
32.485,1.1,1.33,3.61
32.539,-4.86,-2.43,4.79
32.591,-1.61,-20.01,7.92
32.643,8.39,-18.4,2.35
32.694,-1.41,-14.2,-2.31
32.728,-3.84,-9.22,-2.86
32.841,0.16,-2.71,-5.26
32.853,-0.35,-1.41,1.22
32.876,-5.65,-3.65,-0.82
32.93,1.92,-8.63,-1.33
32.989,3.3,-12.55,1.84
33.06,0.59,-20.01,0.75
33.099,4.94,-13.1,2.9
33.151,2.82,-10.12,3.77
33.186,3.61,-2.59,-3.06
33.239,0.86,-4.35,7.41
33.292,3.37,1.69,0.43
33.35,-4.2,-11.92,1.02
33.412,2.2,-20.01,4.04
33.473,6.79,-13.96,-1.53
33.498,-2.75,-15.42,-4.24
33.553,-2,-6.86,-3.26
33.608,-3.49,0.04,-1.45
33.638,-3.37,-0.12,0.2
33.699,2.55,2,-3.41
33.75,7.85,-16.2,-12.32
33.811,4.79,-16.51,-0.43
33.865,1.92,-19.85,2.2
33.92,2.79,-14.24,5.22
33.95,3.45,-9.3,-0.2
34.003,-0.31,-2.55,-1.29
34.073,0.86,-1.45,8.32
34.12,-6.08,-0.27,5.06
34.174,-1.29,-14,12.4
34.461,7.45,-20.01,4.55
34.526,-3.61,-10.55,2.31
34.579,-4.04,-13.02,-0.35
34.629,1.53,-15.65,1.41
34.774,3.33,-5.61,-0.98
34.833,-1.8,-2.08,3.77
34.862,2,-0.04,3.37
34.919,-1.29,-10.71,1.8
34.973,-3.37,-14.2,9.69
35.029,8.28,-20.01,2.55
35.076,-1.8,-16.04,-3.77
35.132,-1.1,-12.28,-1.84
35.183,-2.24,-4.2,-5.88
35.234,-3.26,-1.41,0.59
35.329,0.75,1.33,6.16
35.337,5.45,-13.42,-0.82
35.38,2.12,-14.95,4.63
35.433,-0.9,-20.01,0.63
35.48,1.18,-20.01,4.04
35.533,6.71,-8.83,2.24
35.6,0.86,-11.18,1.18
35.636,0.16,-1.26,-1.96
35.689,2.2,-2.28,3.65
35.747,1.69,0.39,-0.2
35.798,-1.45,-12.43,3.1
35.85,-0.12,-15.18,5.41
35.895,5.06,-19.38,2.47
35.96,0.31,-13.77,-6.86
36.052,-1.37,-14.08,-0.31
36.079,-4.55,-10.71,-0.86
36.091,-0.98,2.2,0.31
36.147,-2.12,-3.96,4.2
36.202,-0.24,-11.81,-10.24
36.257,-3.1,-9.85,4.35
36.309,-0.35,-16.04,2.08
36.366,1.53,-14.75,6.04
36.422,5.49,-12.55,3.02
36.452,2.39,-10.94,2.47
36.501,1.69,-3.61,-1.14
36.552,0.98,-3.06,3.84
36.608,2.16,2.67,3.1
36.676,4.28,-14.4,2.08
36.703,-0.47,-18.75,5.92
36.777,1.57,-16.95,1.96
36.803,0.35,-14.28,-3.37
36.877,-0.82,-10.12,0.2
36.906,-2.31,-5.81,-6.08
36.968,-2.43,1.33,-1.45
37.025,-4.75,-2.08,6.39
37.069,4.75,-9.65,-7.1
37.123,2.55,-13.57,2.71
37.176,-0.67,-15.06,-1.45
37.215,3.69,-15.97,1.53
37.293,4.59,-10.71,3.65
37.325,3.3,-7.34,-1.26
