""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""168897.0""","""12.24""","""-2.67""","""1.14"""
"""168998.0""","""11.1""","""-3.73""","""-5.02"""
"""169099.0""","""11.89""","""0.51""","""-2.08"""
"""169200.0""","""6.9""","""-2.86""","""0.47"""
"""169301.0""","""5.18""","""-4.63""","""2.82"""
"""169402.0""","""11.41""","""-3.8""","""1.26"""
"""169503.0""","""12.55""","""-0.43""","""1.49"""
"""169604.0""","""10.0""","""-2.86""","""-1.45"""
"""169705.0""","""11.34""","""-3.06""","""0.12"""
"""169806.0""","""7.73""","""-3.02""","""-0.63"""
"""169907.0""","""7.61""","""-4.24""","""-1.1"""
"""170008.0""","""11.1""","""-2.2""","""-1.49"""
"""170109.0""","""13.18""","""-7.26""","""-2.0"""
"""170210.0""","""10.67""","""-3.8""","""-1.49"""
"""170311.0""","""10.98""","""-1.61""","""-1.26"""
"""170412.0""","""4.82""","""-0.82""","""-0.24"""
"""170513.0""","""9.41""","""-0.75""","""2.35"""
"""1.706141E7""","""8.87""","""-6.16""","""3.41"""
"""170816.0""","""13.06""","""-2.28""","""-1.33"""
"""170917.0""","""6.79""","""-2.55""","""-0.98"""
"""171018.0""","""10.32""","""-4.67""","""0.27"""
"""171119.0""","""9.96""","""-5.33""","""-0.94"""
"""171220.0""","""14.32""","""-5.22""","""-2.9"""
"""171321.0""","""11.89""","""-0.71""","""-0.75"""
"""171422.0""","""7.96""","""-2.28""","""0.0"""
"""171523.0""","""6.08""","""-1.26""","""-0.35"""
"""171624.0""","""10.28""","""-0.63""","""1.61"""
"""171725.0""","""9.77""","""-4.79""","""2.82"""
"""171826.0""","""6.16""","""1.84""","""-1.84"""
"""171927.0""","""10.36""","""1.33""","""-0.12"""
"""172028.0""","""7.49""","""-4.55""","""-1.22"""
"""172129.0""","""8.24""","""-4.9""","""-0.12"""
"""172230.0""","""11.41""","""-4.0""","""0.04"""
"""172331.0""","""12.32""","""-6.12""","""-2.94"""
"""172432.0""","""12.67""","""-1.92""","""0.16"""
"""172533.0""","""7.77""","""-1.61""","""0.27"""
"""172634.0""","""5.1""","""-1.65""","""0.98"""
"""172735.0""","""11.26""","""-2.31""","""0.0"""
"""172836.0""","""10.08""","""-4.86""","""2.55"""
"""172937.0""","""8.83""","""2.51""","""-1.65"""
"""173038.0""","""10.4""","""0.35""","""0.0"""
"""173139.0""","""7.37""","""-3.61""","""-1.65"""
"""173240.0""","""8.2""","""-4.39""","""0.98"""
