"""Time [sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""20.97152""","""13.57""","""-2.43""","""-1.37"""
"""21.072183296000002""","""15.22""","""-5.96""","""-4.28"""
"""21.13929216""","""4.63""","""-0.04""","""-3.77"""
"""21.223178240000003""","""6.79""","""-1.61""","""-3.77"""
"""21.315452928000003""","""10.98""","""-5.53""","""-2.67"""
"""21.3909504""","""8.47""","""-1.49""","""-3.06"""
"""21.458059264000003""","""7.69""","""-0.90""","""-1.61"""
"""21.541945344000002""","""6.83""","""-2.20""","""-0.78"""
"""21.625831424""","""13.14""","""-2.75""","""0.27"""
"""21.709717504""","""16.08""","""-2.51""","""-4.43"""
"""21.785214976000002""","""4.79""","""0.12""","""-3.69"""
"""21.919432704000002""","""8.94""","""-4.12""","""-3.61"""
"""21.969764352000002""","""11.85""","""-1.29""","""-4.31"""
"""22.045261824""","""8.51""","""-2.35""","""-2.43"""
"""22.129147904""","""6.90""","""-2.00""","""-0.98"""
"""22.18786816""","""7.96""","""-2.51""","""-0.94"""
"""22.27175424""","""13.02""","""-1.61""","""-1.33"""
"""22.355640320000003""","""14.71""","""-4.90""","""-3.84"""
"""22.447915008000003""","""3.69""","""-2.98""","""-4.90"""
"""22.52341248""","""9.69""","""-0.82""","""-5.06"""
"""22.615687168""","""10.79""","""-4.20""","""-2.28"""
"""22.682796032000002""","""7.37""","""-2.04""","""-3.45"""
"""22.749904896""","""7.85""","""-0.90""","""-2.12"""
"""22.884122624""","""7.73""","""-1.41""","""-1.22"""
"""22.926065664000003""","""12.28""","""-2.55""","""-3.65"""
"""23.001563136""","""14.98""","""-3.53""","""-5.45"""
"""23.085449216""","""7.81""","""-0.04""","""-4.24"""
"""23.177723904""","""6.43""","""-1.92""","""-3.37"""
"""23.261609984""","""11.81""","""-2.24""","""-4.12"""
"""23.337107456000002""","""9.14""","""-1.14""","""-2.67"""
"""23.40421632""","""7.53""","""-2.67""","""-1.88"""
"""23.488102400000002""","""8.08""","""-2.90""","""-0.20"""
"""23.580377088000002""","""9.10""","""-2.39""","""-1.06"""
"""23.65587456""","""14.63""","""-6.55""","""-4.12"""
"""23.722983424000002""","""3.92""","""-4.39""","""-4.08"""
"""23.857201152000002""","""8.71""","""1.06""","""-4.90"""
"""23.899144192""","""10.51""","""-3.80""","""-3.22"""
"""23.99141888""","""9.53""","""-2.39""","""-3.30"""
"""24.050139136000002""","""7.49""","""-0.51""","""-2.00"""
"""24.134025216""","""7.18""","""-0.94""","""-0.75"""
"""24.217911296""","""12.04""","""-1.77""","""-3.96"""
"""24.301797376000003""","""13.65""","""-5.96""","""-4.43"""
"""24.394072064000003""","""10.00""","""1.18""","""-4.63"""
