"""Time [sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""16.936599552""","""-20.01""","""-0.24""","""-8.51"""
"""17.020485632""","""-15.57""","""1.06""","""-7.34"""
"""17.11276032""","""0.94""","""-0.47""","""-0.39"""
"""17.188257792""","""-0.82""","""4.98""","""0.98"""
"""17.255366656""","""-1.53""","""0.20""","""-3.18"""
"""17.356029952""","""-20.01""","""-1.77""","""-10.32"""
"""17.439916032000003""","""-20.01""","""8.63""","""-7.92"""
"""17.515413504""","""-8.75""","""-1.37""","""-2.86"""
"""17.582522368""","""3.73""","""4.20""","""0.71"""
"""17.666408448000002""","""-2.16""","""-4.94""","""-2.28"""
"""17.758683136000002""","""-11.81""","""1.80""","""-6.32"""
"""17.842569216""","""-20.01""","""0.27""","""-11.45"""
"""17.926455296""","""-20.01""","""2.63""","""-11.18"""
"""17.993564160000002""","""-1.92""","""0.71""","""-2.55"""
"""18.085838848""","""-2.31""","""-0.67""","""0.43"""
"""18.169724928""","""-0.35""","""2.16""","""-2.51"""
"""18.2452224""","""-16.08""","""-1.77""","""-11.45"""
"""18.354274304""","""-20.01""","""3.80""","""-12.40"""
"""18.421383168000002""","""-14.91""","""0.51""","""-4.79"""
"""18.488492032""","""6.63""","""2.71""","""-1.80"""
"""18.589155328""","""-0.75""","""-2.79""","""-1.57"""
"""18.673041408""","""-0.71""","""-2.79""","""-4.24"""
"""18.74853888""","""-20.01""","""6.28""","""-6.20"""
"""19.226689536000002""","""-20.01""","""4.00""","""-11.34"""
"""19.243466752""","""-10.16""","""-1.65""","""-3.26"""
"""19.25185536""","""1.41""","""-0.90""","""2.82"""
"""19.2937984""","""-0.55""","""6.12""","""-2.71"""
"""19.310575616""","""-2.55""","""0.35""","""-5.84"""
"""19.327352832000003""","""-20.01""","""3.10""","""-6.32"""
"""19.360907264""","""-20.01""","""3.33""","""-5.45"""
"""19.402850304""","""-0.20""","""-2.90""","""-2.90"""
"""19.453181952""","""-2.86""","""1.10""","""-0.71"""
"""19.528679424""","""-1.33""","""1.06""","""-0.55"""
"""19.679674368""","""-20.01""","""4.00""","""-13.06"""
"""19.704840192000002""","""-20.01""","""-3.65""","""-8.28"""
"""19.788726272""","""-9.85""","""-0.20""","""-5.18"""
"""19.872612352""","""2.00""","""-1.02""","""-2.31"""
"""19.948109824000003""","""0.67""","""1.49""","""-2.67"""
"""20.031995904000002""","""-2.86""","""3.41""","""-3.77"""
"""20.115881984""","""-20.01""","""2.08""","""-11.06"""
"""20.199768064""","""-20.01""","""3.41""","""-8.24"""
"""20.283654144""","""-4.51""","""-0.27""","""-1.53"""
"""20.359151616000002""","""0.75""","""1.96""","""0.94"""
"""20.434649088""","""-1.26""","""-3.26""","""-2.79"""
"""20.510146560000003""","""-16.36""","""1.88""","""-13.96"""
"""20.594032640000002""","""-20.01""","""-0.63""","""-8.87"""
"""20.694695936000002""","""-14.44""","""0.39""","""-6.55"""
"""20.770193408""","""1.26""","""-0.08""","""-0.31"""
"""20.854079488""","""-0.98""","""1.88""","""0.16"""
"""20.937965568000003""","""-4.24""","""3.14""","""-1.88"""
"""21.030240256000003""","""-20.01""","""-3.02""","""-11.02"""
"""21.105737728""","""-20.01""","""4.12""","""-8.51"""
"""21.198012416""","""-4.08""","""-1.06""","""-2.28"""
"""21.281898496""","""-3.37""","""2.31""","""1.22"""
"""21.34900736""","""-0.39""","""0.00""","""-1.84"""
"""21.416116224""","""-20.01""","""5.65""","""-7.53"""
"""21.508390912000003""","""-20.01""","""-2.94""","""-6.67"""
"""21.592276992000002""","""-13.93""","""1.92""","""-6.43"""
"""21.676163072""","""2.71""","""-2.28""","""-1.29"""
"""21.760049152""","""0.67""","""4.67""","""-0.08"""
"""21.85232384""","""-2.08""","""3.57""","""-3.92"""
"""21.911044096""","""-20.01""","""-1.57""","""-11.22"""
"""21.986541568""","""-20.01""","""3.02""","""-9.96"""
"""22.070427648000003""","""-7.37""","""-1.53""","""-2.39"""
"""22.154313728""","""0.78""","""4.75""","""0.59"""
"""22.246588416""","""-3.41""","""-2.35""","""-2.47"""
"""22.338863104""","""-13.96""","""5.26""","""-10.16"""
"""22.405971968000003""","""-20.01""","""-1.45""","""-11.89"""
"""22.473080832""","""-17.69""","""4.31""","""-11.73"""
"""22.556966912""","""2.51""","""-0.12""","""0.27"""
"""22.6492416""","""-0.90""","""-2.12""","""-0.39"""
"""22.741516288""","""-1.53""","""0.51""","""0.75"""
"""22.808625152""","""-20.01""","""-1.18""","""-8.83"""
"""22.892511232""","""-20.01""","""4.51""","""-12.55"""
"""22.98478592""","""-10.20""","""-1.41""","""-4.90"""
"""23.051894784""","""4.98""","""2.00""","""-0.86"""
"""23.119003648000003""","""-2.98""","""0.04""","""-4.86"""
"""23.19450112""","""-11.81""","""-5.10""","""-6.16"""
"""23.286775808""","""-20.01""","""2.82""","""-10.98"""
"""23.379050496""","""-17.61""","""1.57""","""-8.90"""
"""23.454547968""","""2.47""","""0.82""","""0.86"""
"""23.546822656""","""-0.55""","""1.22""","""-1.22"""
"""23.61393152""","""0.51""","""0.24""","""-4.47"""
"""23.672651776000002""","""-20.01""","""-0.08""","""-8.79"""
"""23.756537856""","""-20.01""","""0.78""","""-9.14"""
"""23.832035328""","""-10.28""","""1.18""","""-4.47"""
"""23.915921408000003""","""4.71""","""4.08""","""-0.67"""
"""24.008196096000002""","""-2.00""","""-5.30""","""-1.88"""
"""24.108859392000003""","""-8.63""","""-1.14""","""-2.71"""
"""24.175968256""","""-20.01""","""4.59""","""-10.00"""
"""24.276631552""","""-18.44""","""2.98""","""-9.53"""
"""24.721227776000003""","""0.71""","""1.77""","""0.12"""
"""25.224544256""","""-0.98""","""-2.39""","""0.39"""
"""25.291653120000003""","""-0.43""","""0.24""","""-0.20"""
"""25.308430336""","""-20.01""","""2.59""","""-9.92-20.01"""
"""25.325207552000002""","""-13.38""","""1.45""","""-5.69"""
"""25.333596160000003""","""4.63""","""-0.04""","""0.90-1.88"""
"""25.350373376""","""-2.90""","""-4.98""","""-6.83"""
"""25.358761984""","""-20.01""","""9.73""","""-10.12"""
"""25.375539200000002""","""-20.01""","""5.22""","""-9.53"""
"""25.392316416""","""-2.08""","""1.06""","""0.24"""
"""25.434259456000003""","""-3.65""","""0.35""","""0.35"""
"""25.451036672""","""-1.02""","""0.94""","""-3.49"""
"""25.484591104000003""","""-11.49""","""-2.43""","""-7.73"""
"""25.54331136""","""-20.01""","""3.57""","""-10.83"""
"""25.618808832000003""","""-15.89""","""-0.71""","""-7.02"""
"""25.711083520000003""","""1.33""","""0.39""","""-0.31"""
"""25.7949696""","""-1.29""","""1.41""","""-1.29"""
"""25.895632896000002""","""-0.43""","""-2.51""","""-2.39"""
"""25.996296192000003""","""-20.01""","""5.61""","""-13.06"""
"""26.071793664""","""-20.01""","""-0.82""","""-7.30"""
"""26.113736704""","""-6.35""","""3.77""","""-5.10"""
