ACC Z,ACC Y,ACC X,Time [sec]
0.37,-6.05,0.08,39.006
0.37,-6.05,0.08,39.083
0.37,-6.05,0.08,39.171
-1.16,1.63,-3.18,39.259
-1.09,1.35,-1.58,39.34
-0.77,-5.75,-2.08,39.435
-0.77,-5.75,-2.08,39.513
-0.77,-5.75,-2.08,39.585
-0.77,-5.75,-2.08,39.672
-0.77,-5.75,-2.08,39.75
-0.77,-5.75,-2.08,39.843
-0.77,-5.75,-2.08,39.913
-0.77,-5.75,-2.08,40.003
2.89,-8.54,-1.84,40.079
3.49,-15.1,0.69,40.15
4.14,-12.37,1.73,40.225
4.14,-12.37,1.73,40.32
4.14,-12.37,1.73,40.399
4.14,-12.37,1.73,40.474
4.14,-12.37,1.73,40.552
4.14,-12.37,1.73,40.63
4.14,-12.37,1.73,40.705
4.14,-12.37,1.73,40.794
1.54,-17.02,3.74,40.889
1.88,-10.06,1.18,40.97
2.65,-5.69,1.46,41.048
2.65,-5.69,1.46,41.123
2.65,-5.69,1.46,41.199
2.65,-5.69,1.46,41.278
2.65,-5.69,1.46,41.357
2.65,-5.69,1.46,41.44
2.65,-5.69,1.46,41.519
2.65,-5.69,1.46,41.604
2.99,0.04,1.88,41.702
5.11,-6.93,1.73,41.775
2.96,-12.71,1.16,41.846
2.96,-12.71,1.16,41.923
2.96,-12.71,1.16,41.997
2.96,-12.71,1.16,42.096
2.96,-12.71,1.16,42.175
2.96,-12.71,1.16,42.267
2.96,-12.71,1.16,42.343
2.96,-12.71,1.16,42.428
1.5,-18.19,-1.4,42.504
-1.78,-9.73,-0.44,42.575
0.03,-5.03,-0.37,42.665
0.03,-5.03,-0.37,42.744
0.03,-5.03,-0.37,42.814
0.03,-5.03,-0.37,42.91
0.03,-5.03,-0.37,43.004
0.03,-5.03,-0.37,43.075
0.03,-5.03,-0.37,43.147
0.03,-5.03,-0.37,43.227
0.24,0.81,-0.51,43.306
-0.67,-4.09,-2.47,43.41
-2.77,-10.11,-3.09,43.483
-2.77,-10.11,-3.09,43.551
-2.77,-10.11,-3.09,43.646
-2.77,-10.11,-3.09,43.724
-2.77,-10.11,-3.09,43.799
-2.77,-10.11,-3.09,43.887
-2.77,-10.11,-3.09,43.965
-2.77,-10.11,-3.09,44.05
-2.89,-16.45,-2.42,44.129
-1.91,-19.06,-0.48,44.207
0.65,-10.71,-0.98,44.282
0.65,-10.71,-0.98,44.368
0.65,-10.71,-0.98,44.447
0.65,-10.71,-0.98,44.525
0.65,-10.71,-0.98,44.622
0.65,-10.71,-0.98,44.699
0.65,-10.71,-0.98,44.773
0.65,-10.71,-0.98,44.85
1.95,-3.37,-1.33,44.934
3.24,3.18,-2.88,45.013
3.53,-2.96,-3.61,45.106
3.53,-2.96,-3.61,45.181
3.53,-2.96,-3.61,45.26
3.53,-2.96,-3.61,45.342
3.53,-2.96,-3.61,45.42
3.53,-2.96,-3.61,45.509
3.53,-2.96,-3.61,45.584
3.53,-2.96,-3.61,45.664
1.44,-4.72,-2.48,45.74
5.61,-12.21,-0.38,45.825
3.36,-12.13,2.13,45.918
3.36,-12.13,2.13,45.994
3.36,-12.13,2.13,46.069
3.36,-12.13,2.13,46.149
3.36,-12.13,2.13,46.226
3.36,-12.13,2.13,46.302
3.36,-12.13,2.13,46.376
3.36,-12.13,2.13,46.463
8.85,-17.7,-0.13,46.564
3.49,-17.36,-0.88,46.649
3.2,-10.77,-0.84,46.725
3.2,-10.77,-0.84,46.809
3.2,-10.77,-0.84,46.886
