""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""670869.0""","""2.08""","""-10.94""","""-0.86"""
"""670970.0""","""-4.75""","""9.3""","""-3.84"""
"""671071.0""","""10.71""","""-20.01""","""-20.01"""
"""671172.0""","""6.2""","""-5.37""","""8.59"""
"""671273.0""","""-11.85""","""6.51""","""2.51"""
"""671374.0""","""8.12""","""-5.53""","""-9.53"""
"""671475.0""","""20.01""","""-17.73""","""-16.32"""
"""671576.0""","""9.49""","""5.84""","""-3.92"""
"""671677.0""","""-0.43""","""-8.79""","""0.08"""
"""671778.0""","""-3.02""","""1.57""","""2.67"""
"""671879.0""","""10.4""","""6.04""","""15.3"""
"""671980.0""","""2.71""","""-4.12""","""4.12"""
"""672081.0""","""-4.43""","""12.47""","""5.37"""
"""672182.0""","""-1.33""","""-20.01""","""-12.98"""
"""672283.0""","""18.32""","""-8.08""","""3.33"""
"""672384.0""","""0.82""","""-3.84""","""-16.75"""
"""672485.0""","""-7.34""","""6.16""","""4.67"""
"""672586.0""","""20.01""","""-20.01""","""3.3"""
"""672687.0""","""20.01""","""-20.01""","""-20.01"""
"""672788.0""","""-5.96""","""-0.24""","""-0.16"""
"""672889.0""","""7.02""","""-3.69""","""-1.65"""
"""672990.0""","""20.01""","""16.4""","""2.24"""
"""673091.0""","""10.98""","""3.61""","""-4.55"""
"""673192.0""","""1.8""","""-9.92""","""-3.49"""
"""673293.0""","""-4.51""","""3.45""","""-0.04"""
"""673394.0""","""5.37""","""2.94""","""15.18"""
"""673495.0""","""4.82""","""-9.06""","""5.02"""
"""673596.0""","""-7.85""","""10.2""","""1.1"""
"""673697.0""","""8.71""","""-10.04""","""1.77"""
"""673798.0""","""8.39""","""-4.82""","""14.63"""
"""673899.0""","""3.96""","""-7.57""","""7.18"""
"""674000.0""","""-8.08""","""-3.84""","""1.33"""
"""674101.0""","""6.04""","""-5.77""","""20.01"""
"""674202.0""","""20.01""","""-13.42""","""-19.26"""
"""674303.0""","""-3.88""","""-1.26""","""-1.33"""
"""674404.0""","""3.1""","""-9.45""","""-0.35"""
"""674505.0""","""15.06""","""20.01""","""7.34"""
"""674606.0""","""14.87""","""2.04""","""-5.1"""
"""674707.0""","""-0.24""","""-20.01""","""-5.77"""
"""674808.0""","""-5.41""","""8.79""","""5.45"""
"""674909.0""","""12.32""","""6.63""","""20.01"""
"""675010.0""","""2.04""","""-2.63""","""4.63"""
"""675111.0""","""-4.63""","""11.3""","""-0.71"""
"""675212.0""","""3.88""","""14.32""","""16.87"""
"""675313.0""","""17.85""","""-7.02""","""-2.79"""
"""675414.0""","""5.22""","""-10.47""","""-4.31"""
"""675515.0""","""-12.71""","""4.24""","""11.02"""
"""675616.0""","""-8.51""","""1.53""","""-20.01"""
"""675717.0""","""5.73""","""-5.69""","""8.94"""
"""675818.0""","""-9.96""","""5.37""","""5.73"""
"""675919.0""","""7.34""","""-10.71""","""-2.59"""
"""676020.0""","""5.49""","""-19.1""","""-19.3"""
"""676121.0""","""5.77""","""6.47""","""-2.82"""
"""676222.0""","""-2.0""","""-9.3""","""-6.86"""
"""676323.0""","""-0.08""","""-0.04""","""19.14"""
"""676424.0""","""20.01""","""-20.01""","""-20.01"""
"""676525.0""","""-1.53""","""1.73""","""0.04"""
"""676626.0""","""2.98""","""-7.06""","""-4.2"""
"""676727.0""","""3.45""","""19.69""","""19.06"""
"""676828.0""","""16.95""","""-2.24""","""-2.0"""
"""676929.0""","""3.77""","""-10.32""","""-5.45"""
"""677030.0""","""-7.81""","""12.08""","""-0.55"""
"""677131.0""","""1.22""","""-1.26""","""-20.01"""
"""677232.0""","""7.26""","""-4.9""","""8.2"""
"""677333.0""","""-13.06""","""12.94""","""8.04"""
"""677434.0""","""17.57""","""-20.01""","""1.73"""
"""677535.0""","""6.9""","""-8.08""","""5.57"""
"""677636.0""","""3.53""","""-0.59""","""0.24"""
"""677737.0""","""-5.06""","""-8.59""","""-1.69"""
"""677838.0""","""3.65""","""-8.08""","""11.1"""
"""677939.0""","""20.01""","""-19.1""","""-20.01"""
"""678040.0""","""1.29""","""1.84""","""-1.37"""
"""678141.0""","""2.2""","""-5.88""","""-10.4"""
"""678242.0""","""20.01""","""20.01""","""0.82"""
"""678343.0""","""12.59""","""2.43""","""-5.53"""
"""678444.0""","""5.88""","""-9.18""","""-6.35"""
"""678545.0""","""-7.57""","""7.26""","""-0.24"""
"""678646.0""","""7.96""","""4.63""","""20.01"""
"""678747.0""","""3.02""","""-7.14""","""8.04"""
"""678848.0""","""-7.88""","""10.87""","""2.24"""
"""678949.0""","""19.34""","""-20.01""","""4.12"""
"""679050.0""","""20.01""","""-2.28""","""9.06"""
"""679151.0""","""1.45""","""0.2""","""5.53"""
